Al_pct,Mg_pct,d_p0_um,L_c_m,Pc_psia,Primary_OF,Expulsion_Eff_pct,Slag_Pct,Residence_Time_ms,Target_>=90_Met
90.0,10.0,50.0,0.25,200.0,0.25,0.0,24.975000000000005,2.520000000000006,False
90.0,10.0,50.0,0.3,200.0,0.25,0.0,24.975000000000005,2.520000000000006,False
90.0,10.0,50.0,0.35000000000000003,200.0,0.25,0.0,24.975000000000005,2.520000000000006,False
90.0,10.0,50.0,0.4,200.0,0.25,0.0,24.975000000000005,2.520000000000006,False
90.0,10.0,50.0,0.45,200.0,0.25,0.0,24.975000000000005,2.520000000000006,False
90.0,10.0,50.0,0.5,200.0,0.25,0.0,24.975000000000005,2.520000000000006,False
90.0,10.0,75.0,0.05,200.0,0.25,57.110942947482435,11.306627665469948,3.370000000000008,False
90.0,10.0,75.0,0.1,200.0,0.25,0.04122824644766178,26.351631203530207,5.319999999999951,False
90.0,10.0,75.0,0.15000000000000002,200.0,0.25,0.0,26.362499999999972,5.339999999999951,False
90.0,10.0,75.0,0.2,200.0,0.25,0.0,26.362499999999972,5.339999999999951,False
90.0,10.0,75.0,0.25,200.0,0.25,0.0,26.362499999999972,5.339999999999951,False
90.0,10.0,75.0,0.3,200.0,0.25,0.0,26.362499999999972,5.339999999999951,False
90.0,10.0,75.0,0.35000000000000003,200.0,0.25,0.0,26.362499999999972,5.339999999999951,False
90.0,10.0,75.0,0.4,200.0,0.25,0.0,26.362499999999972,5.339999999999951,False
90.0,10.0,75.0,0.45,200.0,0.25,0.0,26.362499999999972,5.339999999999951,False
90.0,10.0,75.0,0.5,200.0,0.25,0.0,26.362499999999972,5.339999999999951,False
90.0,10.0,100.0,0.05,200.0,0.25,100.0,0.0,3.880000000000009,True
90.0,10.0,100.0,0.1,200.0,0.25,43.32693845725616,15.726774578111419,6.179999999999916,False
90.0,10.0,100.0,0.15000000000000002,200.0,0.25,8.312579213158324,25.443259268348562,8.119999999999838,False
90.0,10.0,100.0,0.2,200.0,0.25,0.0,27.749999999999996,9.089999999999797,False
90.0,10.0,100.0,0.25,200.0,0.25,0.0,27.749999999999996,9.089999999999797,False
90.0,10.0,100.0,0.3,200.0,0.25,0.0,27.749999999999996,9.089999999999797,False
90.0,10.0,100.0,0.35000000000000003,200.0,0.25,0.0,27.749999999999996,9.089999999999797,False
90.0,10.0,100.0,0.4,200.0,0.25,0.0,27.749999999999996,9.089999999999797,False
90.0,10.0,100.0,0.45,200.0,0.25,0.0,27.749999999999996,9.089999999999797,False
90.0,10.0,100.0,0.5,200.0,0.25,0.0,27.749999999999996,9.089999999999797,False
